2023-04-02T23:46:47.808+0800	INFO	middlewares/logger.go:31	/v1/swagger/swagger-ui-standalone-preset.js	{"statusxixixixi": 304, "method": "GET", "path": "/v1/swagger/swagger-ui-standalone-preset.js", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "54.333µs"}
2023-04-02T23:46:48.010+0800	INFO	middlewares/logger.go:31	/v1/swagger/favicon-32x32.png	{"statusxixixixi": 304, "method": "GET", "path": "/v1/swagger/favicon-32x32.png", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "31.75µs"}
2023-04-02T23:46:48.027+0800	INFO	middlewares/logger.go:31	/v1/swagger/doc.json	{"statusxixixixi": 500, "method": "GET", "path": "/v1/swagger/doc.json", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "15.833µs"}
2023-04-02T23:47:03.870+0800	INFO	middlewares/logger.go:31	/swagger/index.html	{"statusxixixixi": 404, "method": "GET", "path": "/swagger/index.html", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "833ns"}
2023-04-02T23:47:08.695+0800	INFO	middlewares/logger.go:31	/swagger/index.html	{"statusxixixixi": 404, "method": "GET", "path": "/swagger/index.html", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "875ns"}
2023-04-02T23:47:10.034+0800	INFO	middlewares/logger.go:31	/swagger/index.html	{"statusxixixixi": 404, "method": "GET", "path": "/swagger/index.html", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "750ns"}
2023-04-02T23:47:10.780+0800	INFO	middlewares/logger.go:31	/swagger/index.html	{"statusxixixixi": 404, "method": "GET", "path": "/swagger/index.html", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "1.167µs"}
2023-04-02T23:47:30.434+0800	INFO	middlewares/logger.go:31	/swagger/	{"statusxixixixi": 404, "method": "GET", "path": "/swagger/", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "958ns"}
2023-04-02T23:47:34.313+0800	INFO	middlewares/logger.go:31	/swagger/index.html	{"statusxixixixi": 404, "method": "GET", "path": "/swagger/index.html", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "917ns"}
2023-04-02T23:47:49.897+0800	INFO	middlewares/logger.go:31	/swagger/index.html	{"statusxixixixi": 404, "method": "GET", "path": "/swagger/index.html", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "792ns"}
2023-04-02T23:49:59.172+0800	INFO	middlewares/logger.go:31	/v1/swagger/index/html	{"statusxixixixi": 404, "method": "GET", "path": "/v1/swagger/index/html", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "76.583µs"}
2023-04-02T23:50:06.999+0800	INFO	middlewares/logger.go:31	/v1/swagger/doc.json	{"statusxixixixi": 500, "method": "GET", "path": "/v1/swagger/doc.json", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "14.542µs"}
2023-04-02T23:51:19.091+0800	INFO	middlewares/logger.go:31	/v1/user/swagger/doc.json	{"statusxixixixi": 500, "method": "GET", "path": "/v1/user/swagger/doc.json", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "26.834µs"}
2023-04-02T23:52:10.873+0800	INFO	middlewares/logger.go:31	/v1/user/swagger/doc.json	{"statusxixixixi": 500, "method": "GET", "path": "/v1/user/swagger/doc.json", "query": "", "ip": "::1", "user-agent": "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36", "errors": "", "cost": "30.709µs"}
